id,date,city,state,type,ideology,subideology,group,description,image
6743,11/2018,Prince Frederick,MD,Harassment,Right Wing (White Supremacist),,,"Loyal White Knights, a Klan group, distributed anti-Semitic fliers that read: ""Wake up and stop letting these third world savages walk all over your people"" and ""The Blacks and Jews are the majority they will NOT stand for white equality like they have tricked us into doing for them!""",
6744,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a synagogue in Williamsburg.,
6745,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a synagogue in Williamsburg.,
6746,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a Williamsburg synagogue.,
6747,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a Williamsburg synagogue.,
6748,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a Williamsburg synagogue.,
6749,11/2018,Brooklyn,NY,Harassment,,,,Arson committed against a Williamsburg synagogue.,
6750,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a Williamsburg synagogue.,
6751,11/2018,Brooklyn,NY,Harassment,,,,Arson committed at a Williamsburg synagogue.,
6752,11/2018,Chestnut Hill,MA,Harassment,,,,A Jewish anti-pornography activist was targeted on Twitter with anti-Semitic memes and tweets.,
6753,11/2018,Wichita,KS,Harassment,,,,Anti-Semitic literature placed in residential mailboxes.,
6754,11/2018,Lincoln,NE,Harassment,,,,"Student drew a swastika and wrote ""dirty Jew"" on another student's homework.",
6755,11/2018,Oak Park,IL,Harassment,,,,An image of a swastika was sent to mostly Jewish students via Apple AirDrop.,
6756,11/2018,Boston,MA,Harassment,,,,Individual was victim of anti-Semitic verbal harassment by a cab driver.,
6757,11/2018,New Orleans,LA,Harassment,,,,A flyer for a white supremacist event was distributed and featured a swastika.,
6758,11/2018,Cincinnati,OH,Harassment,,,,"Anti-Semitic radio advertisements for congressional candidate Jim Condit Jr., featured Condit railing against ""Fake lying polls put out by the big TV networks all controlled by billionaire communist Jews.""",
6759,11/2018,Ithaca,NY,Harassment,,,,"Letter to the editor of Cornell University's Daily Sun claimed that ""Zionism is a particularly horrific formulation of white supremacy.""",
6760,11/2018,San Francisco,CA,Harassment,,,,Confidential,
6761,11/2018,Jacksonville,FL,Harassment,,,,Organization received harassing and anti-Semitic emails.,
6763,11/2018,El Cerrito,CA,Harassment,,,,"Jewish boy verbally harassed by classmates who called him a ""Penny-pincher Jew,"" among other things.",
6764,11/2018,Old Tappan,NJ,Harassment,,,,Confidential,
6765,11/2018,Rocky Hill,CT,Harassment,,,,Local news anchor made an anti-Semitic joke on-air.,
6766,11/2018,Loveland,CO,Harassment,,,,Confidential,
6767,11/2018,Allentown,PA,Harassment,,,,High school students shared an anti-Semitic video on Snapchat targeting other students.,
6768,11/2018,Knoxville,TN,Harassment,,,,"Following an earlier incident, a rock on the University of Tennessee, Knoxville campus was decorated to memorialize the victims of the Tree of Life synagogue shooting, only to then be vandalized with swastikas and other hateful language and symbols.",
6769,11/2018,Morristown,NJ,Harassment,,,,Customer made Holocaust denial comments to restaurant employees.,
6770,11/2018,Tallahassee,FL,Harassment,,,,"Jewish middle school student bullied my other students who called him ""Jew boy"" and ""dumb Jewish kid.""",
6771,11/2018,El Paso,TX,Harassment,,,,"A synagogue received a threatening phone message saying, ""Tragedy will happen to the Jews. To you Jews.""",
6772,11/2018,Glassboro,NJ,Harassment,,,,Confidential,
6773,11/2018,Baltimore,MD,Harassment,,,,"Man yelled ""Heil Hitler"" during a production of Fiddler on the Roof. While the man claimed he did this because he was comparing President Trump to Hitler, and not that he was approving of Hitler, it nevertheless caused a great disturbance for the Jewish community.",
6774,11/2018,Anaheim,CA,Harassment,,,,"Makom Shalom, a Jewish Renewal synagogue, was evacuated after receiving a bomb threat.",
6775,11/2018,Providence,RI,Harassment,,,,Anti-Semitic fax sent to multiple departments at Brown University.,
6776,11/2018,Spring Valley,NY,Harassment,,,,"Jewish man's neighbor yelled at him ""Fuck you Jews"" several times.",
6777,11/2018,Washington,DC,Harassment,,,,Jewish woman received a harassing and threatening anti-Semitic letter in the mail.,
6778,11/2018,Cary,NC,Harassment,,,,William Josephus Warden harassed and threatened a synagogue.,
6779,11/2018,Rockville,MD,Harassment,,,,"Employee of a the city was verbally harassed by his coworker who said to him ""Hey you fucking Jew, why aren't you in synagogue?""",
6780,11/2018,West Hills,CA,Harassment,,,,Anti-Semitic and misogynist statements made to waitress at a restaurant.,
6781,11/2018,Arlington,MA,Harassment,,,,A swastika was trampled into the snow in a park.,
6782,11/2018,Washington,DC,Harassment,,,,Synagogue employee received anti-Semitic voicemails.,
6783,11/2018,Mount Laurel Township,NJ,Harassment,,,,Jewish person directly harassed on Facebook with Holocaust denial rhetoric.,
6784,11/2018,Philadelphia,PA,Harassment,,,,"During a back and forth between two individuals on Facebook, one said he would like to kill Jewish Zionists and Christian Zionists.",
6785,11/2018,Cherry Hill,NJ,Harassment,,,,Confidential,
6786,11/2018,Williamsburg,VA,Harassment,,,,A synagogue received a Nazi emblem in the mail.,
6787,11/2018,New Bedford,MA,Harassment,,,,Kill Jews was written on the basketball court of a synagogue.,
6788,11/2018,New Orleans,LA,Harassment,,,,School peer drew a swastika on a piece of paper in front of Jewish classmate.,
6789,11/2018,Los Angeles,CA,Harassment,,,,Jewish individual received a threatening anti-Semitic email.,
6790,11/2018,Windermere,FL,Harassment,,,,Individual received an anti-Semitic message via direct message on Facebook.,
6791,11/2018,Plymouth Meeting,PA,Harassment,,,,"During a soccer game, a 13-year-old boy was told by an opposing player, ""Stop following me around, Jew.""",
6792,11/2018,Atlanta,GA,Harassment,,,,"While on a flight, a man went on an anti-Semitic rant, asked Jews to identify themselves, and threatened to bomb the plane.",
6793,11/2018,Atlanta,GA,Harassment,,,,An anti-Semitic mural that depicted a Jew as The Grinch was displayed at a shopping center.,
